Name,Month,L/S,Entry Date,Exit Date,Years,Avg_Pct,Win_Rate,Avg_Profit,Avg_Loss,Col11,Col12,Col13,Max_Up_Swing,Col15,Max_Down_Swing,Flag,History_URL,Seasonal_URL,Trade_ID
Canadian Dollar,Sep,L,6/17,7/2,2.00,1.9,75.5,0.0067,-0.0109,0.84,1.26,7,0.0491,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=193624195&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=193624195&service_id=1,193624195
Live Cattle,Oct,L,6/22,7/6,4.00,5.7,80.3,1.71,-1.23,2.25,1.97,16,17.13,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=201073138&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=201073138&service_id=1,201073138
Live Cattle,Oct,L,6/22,7/6,3.00,5.3,78.7,1.74,-1.22,2.29,1.68,16,17.13,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934769&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934769&service_id=1,199934769
Live Cattle,Oct,L,6/22,7/4,4.00,5.3,78.7,1.81,-1.26,2.33,1.93,16,17.18,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=201073136&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=201073136&service_id=1,201073136
Live Cattle,Oct,L,6/22,7/5,4.00,5.3,78.7,1.81,-1.26,2.33,1.93,16,17.18,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=201073137&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=201073137&service_id=1,201073137
Live Cattle,Oct,L,6/18,7/6,5.00,4.3,78.7,1.85,-1.57,2.47,2.70,13,32.11,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934685&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934685&service_id=1,199934685
Live Cattle,Oct,L,6/18,7/4,5.00,4.1,78.7,1.89,-1.70,2.47,2.79,8,25.66,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934677&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934677&service_id=1,199934677
Live Cattle,Oct,L,6/18,7/5,5.00,4.1,78.7,1.89,-1.70,2.47,2.79,8,25.66,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934681&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934681&service_id=1,199934681
Live Cattle,Oct,L,6/22,7/3,4.00,5.5,77.0,1.75,-1.07,2.25,1.72,8,15.24,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=201073135&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=201073135&service_id=1,201073135
Live Cattle,Oct,L,6/22,7/4,3.00,4.9,77.0,1.83,-1.25,2.36,1.67,16,17.18,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934765&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934765&service_id=1,199934765
Live Cattle,Oct,L,6/22,7/5,3.00,4.9,77.0,1.83,-1.25,2.36,1.67,16,17.18,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934767&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934767&service_id=1,199934767
Live Cattle,Oct,L,6/22,7/7,3.00,4.6,77.0,1.86,-1.37,2.43,1.89,15,19.43,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934771&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934771&service_id=1,199934771
Live Cattle,Oct,L,6/19,7/6,5.00,4.5,77.0,1.88,-1.39,2.58,2.45,13,27.08,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934707&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934707&service_id=1,199934707
Live Cattle,Oct,L,6/18,7/7,5.00,4.2,77.0,1.89,-1.52,2.52,2.58,12,31.35,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934689&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934689&service_id=1,199934689
Live Cattle,Oct,L,6/18,7/6,4.00,4.1,77.0,1.85,-1.51,2.45,2.64,13,32.11,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934684&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934684&service_id=1,199934684
Live Cattle,Oct,L,6/18,7/6,3.00,4.0,77.0,1.85,-1.55,2.45,2.76,13,32.11,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934683&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934683&service_id=1,199934683
Live Cattle,Oct,L,6/21,7/6,5.00,4.0,77.0,1.77,-1.49,2.32,2.37,8,14.58,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934746&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934746&service_id=1,199934746
Live Cattle,Oct,L,6/18,7/4,4.00,3.9,77.0,1.88,-1.62,2.43,2.72,8,25.66,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934676&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934676&service_id=1,199934676
Live Cattle,Oct,L,6/18,7/5,4.00,3.9,77.0,1.88,-1.62,2.43,2.72,8,25.66,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934680&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934680&service_id=1,199934680
Live Cattle,Oct,L,6/24,7/3,5.00,5.6,75.4,1.61,-0.88,2.08,1.56,13,27.00,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934789&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934789&service_id=1,199934789
Live Cattle,Oct,L,6/24,7/3,3.00,5.5,75.4,1.61,-0.90,2.08,1.46,13,27.00,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934788&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934788&service_id=1,199934788
Live Cattle,Oct,L,6/23,7/3,4.00,5.5,75.4,1.69,-0.95,2.13,1.53,8,15.06,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934774&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934774&service_id=1,199934774
Live Cattle,Oct,L,6/22,7/3,3.00,5.1,75.4,1.77,-1.08,2.28,1.49,8,15.24,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934763&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934763&service_id=1,199934763
Live Cattle,Oct,L,6/23,7/4,4.00,5.0,75.4,1.80,-1.10,2.29,1.68,7,14.53,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934776&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934776&service_id=1,199934776
Live Cattle,Oct,L,6/23,7/5,4.00,5.0,75.4,1.80,-1.10,2.29,1.68,7,14.53,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934778&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934778&service_id=1,199934778
Live Cattle,Oct,L,6/17,7/6,5.00,4.9,75.4,1.94,-1.23,2.67,2.10,13,29.81,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934662&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934662&service_id=1,199934662
Live Cattle,Oct,L,6/24,7/4,5.00,4.9,75.4,1.74,-1.09,2.25,1.74,11,14.98,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934791&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934791&service_id=1,199934791
Live Cattle,Oct,L,6/24,7/5,5.00,4.9,75.4,1.74,-1.09,2.25,1.74,11,14.98,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934793&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934793&service_id=1,199934793
Live Cattle,Oct,L,6/19,7/6,3.00,4.8,75.4,1.88,-1.19,2.56,2.17,13,27.08,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934706&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934706&service_id=1,199934706
Live Cattle,Oct,L,6/24,7/4,3.00,4.8,75.4,1.74,-1.12,2.25,1.64,11,14.98,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934790&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934790&service_id=1,199934790
Live Cattle,Oct,L,6/24,7/5,3.00,4.8,75.4,1.74,-1.12,2.25,1.64,11,14.98,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934792&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934792&service_id=1,199934792
Live Cattle,Oct,L,6/17,7/7,5.00,4.6,75.4,1.95,-1.31,2.64,2.15,8,23.35,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934665&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934665&service_id=1,199934665
Live Cattle,Oct,L,6/19,7/3,5.00,4.3,75.4,1.89,-1.35,2.53,2.33,14,30.93,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934698&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934698&service_id=1,199934698
Live Cattle,Oct,L,6/19,7/7,5.00,4.3,75.4,1.93,-1.37,2.65,2.42,9,18.84,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934710&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934710&service_id=1,199934710
Live Cattle,Oct,L,6/19,7/4,5.00,4.2,75.4,1.97,-1.43,2.64,2.40,8,19.05,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934701&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934701&service_id=1,199934701
Live Cattle,Oct,L,6/19,7/5,5.00,4.2,75.4,1.97,-1.43,2.64,2.40,8,19.05,2,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934704&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934704&service_id=1,199934704
Live Cattle,Oct,L,6/23,7/7,4.00,4.1,75.4,1.85,-1.38,2.40,2.11,15,17.80,3,Y,https://seasonaltrader.com/host/History/Commodities.aspx?trade=199934783&service_id=1,https://seasonaltrader.com/Charts/Commodities/Weekly.aspx?trade=199934783&service_id=1,199934783
